             Tau     Tau_gorrito               y
   1.9500000E+00   3.0586626E+00             NaN
   1.9550000E+00   3.0636626E+00             NaN
   1.9600000E+00   3.0686626E+00             NaN
   1.9650000E+00   3.0736626E+00             NaN
   1.9700000E+00   3.0786626E+00             NaN
   1.9750000E+00   3.0836626E+00             NaN
   1.9800000E+00   3.0886626E+00             NaN
   1.9850000E+00   3.0936626E+00             NaN
   1.9900000E+00   3.0986626E+00             NaN
   1.9950000E+00   3.1036626E+00             NaN
   2.0000000E+00   3.1086626E+00             NaN
   2.0050000E+00   3.1136626E+00             NaN
   2.0100000E+00   3.1186626E+00             NaN
   2.0150000E+00   3.1236626E+00             NaN
   2.0200000E+00   3.1286626E+00             NaN
   2.0250000E+00   3.1336626E+00             NaN
   2.0300000E+00   3.1386626E+00             NaN
   2.0350000E+00   3.1436626E+00             NaN
   2.0400000E+00   3.1486626E+00             NaN
   2.0450000E+00   3.1536626E+00             NaN
   2.0500000E+00   3.1586626E+00             NaN
   2.0550000E+00   3.1636626E+00             NaN
   2.0600000E+00   3.1686626E+00             NaN
   2.0650000E+00   3.1736626E+00             NaN
   2.0700000E+00   3.1786626E+00             NaN
   2.0750000E+00   3.1836626E+00             NaN
   2.0800000E+00   3.1886626E+00             NaN
   2.0850000E+00   3.1936626E+00             NaN
   2.0900000E+00   3.1986626E+00             NaN
   2.0950000E+00   3.2036626E+00             NaN
   2.1000000E+00   3.2086626E+00             NaN
   2.1050000E+00   3.2136626E+00             NaN
   2.1100000E+00   3.2186626E+00             NaN
   2.1150000E+00   3.2236626E+00             NaN
   2.1200000E+00   3.2286626E+00             NaN
   2.1250000E+00   3.2336626E+00             NaN
   2.1300000E+00   3.2386626E+00             NaN
   2.1350000E+00   3.2436626E+00             NaN
   2.1400000E+00   3.2486626E+00             NaN
   2.1450000E+00   3.2536626E+00             NaN
   2.1500000E+00   3.2586626E+00             NaN
   2.1550000E+00   3.2636626E+00             NaN
   2.1600000E+00   3.2686626E+00             NaN
   2.1650000E+00   3.2736626E+00             NaN
   2.1700000E+00   3.2786626E+00             NaN
   2.1750000E+00   3.2836626E+00             NaN
   2.1800000E+00   3.2886626E+00             NaN
   2.1850000E+00   3.2936626E+00             NaN
   2.1900000E+00   3.2986626E+00             NaN
   2.1950000E+00   3.3036626E+00             NaN
   2.2000000E+00   3.3086626E+00             NaN
   2.2050000E+00   3.3136626E+00             NaN
   2.2100000E+00   3.3186626E+00             NaN
   2.2150000E+00   3.3236626E+00             NaN
   2.2200000E+00   3.3286626E+00             NaN
   2.2250000E+00   3.3336626E+00             NaN
   2.2300000E+00   3.3386626E+00             NaN
   2.2350000E+00   3.3436626E+00             NaN
   2.2400000E+00   3.3486626E+00             NaN
   2.2450000E+00   3.3536626E+00             NaN
   2.2500000E+00   3.3586626E+00             NaN
   2.2550000E+00   3.3636626E+00             NaN
   2.2600000E+00   3.3686626E+00             NaN
   2.2650000E+00   3.3736626E+00             NaN
   2.2700000E+00   3.3786626E+00             NaN
   2.2750000E+00   3.3836626E+00             NaN
   2.2800000E+00   3.3886626E+00             NaN
   2.2850000E+00   3.3936626E+00             NaN
   2.2900000E+00   3.3986626E+00             NaN
   2.2950000E+00   3.4036626E+00             NaN
   2.3000000E+00   3.4086626E+00             NaN
   2.3050000E+00   3.4136626E+00             NaN
   2.3100000E+00   3.4186626E+00             NaN
   2.3150000E+00   3.4236626E+00             NaN
   2.3200000E+00   3.4286626E+00             NaN
   2.3250000E+00   3.4336626E+00             NaN
   2.3300000E+00   3.4386626E+00             NaN
   2.3350000E+00   3.4436626E+00             NaN
   2.3400000E+00   3.4486626E+00             NaN
   2.3450000E+00   3.4536626E+00             NaN
   2.3500000E+00   3.4586626E+00             NaN
   2.3550000E+00   3.4636626E+00             NaN
   2.3600000E+00   3.4686626E+00             NaN
   2.3650000E+00   3.4736626E+00             NaN
   2.3700000E+00   3.4786626E+00             NaN
   2.3750000E+00   3.4836626E+00             NaN
   2.3800000E+00   3.4886626E+00             NaN
   2.3850000E+00   3.4936626E+00             NaN
   2.3900000E+00   3.4986626E+00             NaN
   2.3950000E+00   3.5036626E+00             NaN
   2.4000000E+00   3.5086626E+00             NaN
   2.4050000E+00   3.5136626E+00             NaN
   2.4100000E+00   3.5186626E+00             NaN
   2.4150000E+00   3.5236626E+00             NaN
   2.4200000E+00   3.5286626E+00             NaN
   2.4250000E+00   3.5336626E+00             NaN
   2.4300000E+00   3.5386626E+00             NaN
   2.4350000E+00   3.5436626E+00             NaN
   2.4400000E+00   3.5486626E+00             NaN
   2.4450000E+00   3.5536626E+00             NaN
   2.4500000E+00   3.5586626E+00             NaN
   2.4550000E+00   3.5636626E+00             NaN
   2.4600000E+00   3.5686626E+00             NaN
   2.4650000E+00   3.5736626E+00             NaN
   2.4700000E+00   3.5786626E+00             NaN
   2.4750000E+00   3.5836626E+00             NaN
   2.4800000E+00   3.5886626E+00             NaN
   2.4850000E+00   3.5936626E+00             NaN
   2.4900000E+00   3.5986626E+00             NaN
   2.4950000E+00   3.6036626E+00             NaN
